"IMO","Name","Vessel.Type","MMSI","Call.Sign","Flag","AIS.Vessel.Type","Gross.Tonnage","Deadweight","Year.Built","Status","Length","Breadth"
9377418,"ALEXANDER THE GREAT","CRUDE OIL TANKER",636014598,"A8VF4","Liberia [LR]","Tanker",156915,297958,2010,"Active",330,60
9575096,"HARBOUR SPLENDOR","CRUDE OIL TANKER",477728200,"VRGJ9","Hong Kong [HK]","Tanker",157039,297052,2010,"Active",330,60
9077874,"DARYAKARAN","CRUDE OIL TANKER",616999529,"D6IP4","Comoros [KM]","Tanker",156802,298306,1995,"Active",332,58.05
9371608,"NAVE PHOTON","CRUDE OIL TANKER",477114700,"VREJ5","Hong Kong [HK]","Tanker",156702,297395,2008,"Active",330,60
9531882,"BERGE BLANC","ORE CARRIER",235091363,"2FRS7","United Kingdom [GB]","Cargo",151073,297160,2012,"Active",327,55
9183350,"NORTHERN STAR","FLOATING STORAGE/PRODUCTION",567493000,"HSB4887","Thailand [TH]","Tanker",149407,281050,1999,"Active",330,60.04
9723095,"GENER8 ARES","CRUDE OIL TANKER",538006375,"V7MK5","Marshall Is [MH]","Tanker",157092,299999,2016,"Active",336,60.04
9732553,"GENER8 OCEANUS","CRUDE OIL TANKER",636017253,"D5KA2","Liberia [LR]","Tanker",154133,299010,2016,"Active",333,60
9784386,"AROSA","CRUDE OIL TANKER",241478000,"SVCN4","Greece [GR]","Tanker",150978,299323,2017,"Active",330,60
9771341,"FRONT DUCHESS","CRUDE OIL TANKER",538007095,"V7WO6","Marshall Is [MH]","Tanker",154379,299441,2017,"Active",333,60.04
9779812,"MAHARAH","OIL PRODUCTS TANKER",403532000,"HZBG","Saudi Arabia [SA]","Tanker",154252,3e+05,2017,"Active",330,60.04
8902424,"BERGE ELBRUS","BULK CARRIER",370360000,"3ESM6","Panama [PA]","Cargo",155626,292952,1991,"Active",327.5,57.24
9349148,"HAI YANG SHI YOU 117","FLOATING STORAGE/PRODUCTION",413000062,"62","China [CN]","Cargo",233030,286480,2008,"Active",323,63
9006605,"AMITY STAR","FLOATING STORAGE/PRODUCTION",567455000,"HSB4655","Thailand [TH]","Tanker",156336,291381,1993,"Active",328.16,58.05
9183374,"FORTUNE STAR","FLOATING STORAGE/PRODUCTION",567469000,"HSB4737","Thailand [TH]","Tanker",149376,298023,1999,"Active",195,31
9227948,"BW UTIK","CRUDE OIL TANKER",235116394,"2JJH6","United Kingdom [GB]","Tanker",157814,299450,2001,"Active",332,58.04
9000998,"BERGE DENALI","ORE CARRIER",352075000,"H3RI","Panama [PA]","Cargo",155656,286006,1992,"Active",327.5,57.24
9283801,"KAI EI","CRUDE OIL TANKER",352110000,"H9CF","Panama [PA]","Tanker - Hazard B",159942,299997,2004,"Active",333,60
9722924,"ALEX","CRUDE OIL TANKER",205692000,"ONIQ","Belgium [BE]","Tanker",154379,299446,2016,"Active",333,60.04
9762998,"ECO SEAS","CRUDE OIL TANKER",258079000,"LAXF7","Norway [NO]","Tanker",157083,299998,2016,"Active",336.02,60.03
9779824,"ASLAF","CRUDE OIL TANKER",403533000,"HZDJ","Saudi Arabia [SA]","Tanker",154100,3e+05,2017,"Active",333,60
9182291,"NEW KARPATHOS","CRUDE OIL TANKER",373915000,"HPER","Panama [PA]","Tanker",159397,298552,2000,"Active",332.95,60
9522178,"DS VISION","CRUDE OIL TANKER",636092174,"A8XV4","Liberia [LR]","Tanker",157039,297345,2011,"Active",330,60
9044229,"STELLAR EAGLE","ORE CARRIER",353476000,"3FFD2","Panama [PA]","Cargo",154759,278258,1993,"Active",327.5,57.24
9212905,"HAPPINESS I","CRUDE OIL TANKER",373777000,"3FMW","Panama [PA]","Tanker",160930,299214,2003,"Active",333.13,58
9395317,"SOLANA","CRUDE OIL TANKER",248330000,"9HA2320","Malta [MT]","Tanker - Hazard A (Major)",156651,296790,2010,"Active",330,60
9508859,"KALLIOPI","CRUDE OIL TANKER",248869000,"9HA2555","Malta [MT]","Tanker",156651,296659,2010,"Active",330,60
9384617,"NAVE GALACTIC","CRUDE OIL TANKER",477399300,"VRFK5","Hong Kong [HK]","Tanker",156651,297168,2009,"Active",330,60
9398096,"HUGO N","ORE CARRIER",636014330,"A8TD2","Liberia [LR]","Cargo",151448,297088,2011,"Active",327,55
9479163,"HELEN N","ORE CARRIER",636014331,"A8TD3","Liberia [LR]","Cargo",151448,297204,2011,"Active",327,55
9479369,"JULIA N","ORE CARRIER",636014332,"A8TD4","Liberia [LR]","Cargo",151448,297077,2012,"Active",327,55
9519573,"SHAGANG VOLITION","ORE CARRIER",636015588,"D5BR2","Liberia [LR]","Cargo",152306,298004,2012,"Active",327,55
9732577,"AQUITAINE","CRUDE OIL TANKER",205709000,"ONIW","Belgium [BE]","Tanker",154139,298767,2017,"Active",332.97,60
9728722,"GENER8 ETHOS","CRUDE OIL TANKER",636017087,"D5JF8","Liberia [LR]","Tanker",154163,298991,2017,"Active",332.97,60
9728837,"DHT PUMA","CRUDE OIL TANKER",477913900,"VRPZ7","Hong Kong [HK]","Tanker",154180,299629,2016,"Active",333,60
9604079,"MAXIM","CRUDE OIL TANKER",477213500,"VRIH3","Hong Kong [HK]","Tanker",157351,296887,2011,"Active",330,60
9337171,"COSPEARL LAKE","CRUDE OIL TANKER",477242700,"VRMH6","Hong Kong [HK]","Tanker - Hazard A (Major)",156915,299118,2008,"Active",330,60
9337183,"COSJADE LAKE","CRUDE OIL TANKER",477242800,"VRMH5","Hong Kong [HK]","Tanker",156915,298216,2009,"Active",329.99,60
9182318,"C.DREAM","CRUDE OIL TANKER",477275000,"VRYK8","Hong Kong [HK]","Tanker",159397,298570,2000,"Active",332.95,60
9610250,"KONDOR","CRUDE OIL TANKER",477328500,"VRJI5","Hong Kong [HK]","Tanker",156651,296714,2012,"Active",330,60
9245794,"NAVE NEUTRINO","CRUDE OIL TANKER",477409000,"VRYU3","Hong Kong [HK]","Tanker",159456,298330,2003,"Active",332.94,60
9534846,"BLUE NOVA","CRUDE OIL TANKER",636018114,"D5OF7","Liberia [LR]","Tanker",157225,296722,2011,"Active",330,60
9400679,"SEAWAYS EVEREST","CRUDE OIL TANKER",538003712,"V7SS6","Marshall Is [MH]","Other",156651,296907,2010,"Active",330,60
9530228,"SEAWAYS MCKINLEY","CRUDE OIL TANKER",538004111,"V7VF7","Marshall Is [MH]","Tanker",157048,296971,2011,"Active",330,60
9563237,"SEAWAYS KILIMANJARO","CRUDE OIL TANKER",538004169,"V7VO2","Marshall Is [MH]","Tanker",157048,296999,2012,"Active",330,60
9284960,"OCEAN LILY","CRUDE OIL TANKER",477178100,"VROZ7","Hong Kong [HK]","Tanker",156930,299170,2004,"Active",329.99,60.04
9171436,"LUXE","CRUDE OIL TANKER",311000245,"C6BF2","Bahamas [BS]","Tanker - Hazard A (Major)",157833,299150,1999,"Active",332,58
9395290,"MERCURY HOPE","CRUDE OIL TANKER",357285000,"3FRE6","Panama [PA]","Tanker",156915,297221,2011,"Active",330,60
9395496,"MAERSK HEIWA","CRUDE OIL TANKER",372560000,"3FOJ2","Panama [PA]","Tanker",156915,297274,2011,"Active",330,60
9334882,"ABIGAIL N","ORE CARRIER",636014327,"A8TC7","Liberia [LR]","Cargo",151448,297430,2009,"Active",327,55.05
9322023,"GRANDE PROGRESSO","ORE CARRIER",432902000,"7JOJ","Japan [JP]","Cargo",150915,297351,2008,"Active",327,55
9389758,"XIN TONG YANG","CRUDE OIL TANKER",477173200,"VREQ3","Hong Kong [HK]","Tanker",152740,297183,2009,"Active",330,60
9375707,"HE HENG","ORE CARRIER",477177200,"VRET9","Hong Kong [HK]","Cargo",152305,297592,2008,"Active",327.07,55
9262156,"ISUZUGAWA","CRUDE OIL TANKER",248545000,"9HA4698","Malta [MT]","Tanker",160058,299984,2004,"Active",333,60
9323572,"TOYOKUNI","ORE CARRIER",432714000,"7JFC","Japan [JP]","Cargo",150834,297584,2009,"Active",327,55
9379698,"NEW GLOBE","CRUDE OIL TANKER",477585100,"VRNW2","Hong Kong [HK]","Tanker",156726,296481,2009,"Active",330,60
9183348,"ATAKA","CRUDE OIL TANKER",357016000,"3FXA8","Panama [PA]","Tanker",149376,280889,1998,"Active",330,60
9565534,"ORE AMAZONAS","ORE CARRIER",357443000,"H8DT","Panama [PA]","Cargo",152311,297978,2010,"Active",327,55
9036442,"BERGE KIBO","ORE CARRIER",235076527,"2CXE5","United Kingdom [GB]","Cargo",155823,289889,1993,"Active",327,56
9565510,"BAO MIN","ORE CARRIER",356480000,"3FSR6","Panama [PA]","Cargo",152305,297844,2010,"Active",327,55
7357749,"PETROBRAS XXXIII","FLOATING STORAGE/PRODUCTION",356790000,"3FKZ6","Panama [PA]","Other",135673,279749,1978,"Active",337.35,54.5
9182306,"LUCKY TRADER","CRUDE OIL TANKER",215392000,"9HNE7","Malta [MT]","Tanker",159397,298677,2000,"Active",332.95,60
9395305,"DESIMI","CRUDE OIL TANKER",215618000,"9HA2769","Malta [MT]","Tanker",156651,296865,2011,"Active",330,60
9001007,"FPSO CIDADE DE MANGARATIBA MV2","FLOATING STORAGE/PRODUCTION",311076500,"C6AD5","Bahamas [BS]","Other",159202,282286,1992,"Active",332,58
9196606,"FRONT ARIAKE","CRUDE OIL TANKER",311227000,"C6RX9","Bahamas [BS]","Tanker",159397,298530,2001,"Active",332.95,60
9414931,"YIANGOS","CRUDE OIL TANKER",229059000,"9HA3033","Malta [MT]","Tanker",156651,296800,2010,"Active",330,60
9623685,"TEXAS","CRUDE OIL TANKER",229132000,"9HA3095","Malta [MT]","Tanker",160534,299999,2012,"Active",333.02,60
9596947,"HOUSTON","CRUDE OIL TANKER",229134000,"9HA3098","Malta [MT]","Tanker",160534,299999,2012,"Active",333,60.01
9203265,"KALYMNOS","CRUDE OIL TANKER",229170000,"9HA3123","Malta [MT]","Tanker",157831,299089,2000,"Active",332,58
9203253,"CERIGO","CRUDE OIL TANKER",229268000,"9HA3187","Malta [MT]","Tanker",157831,299089,2000,"Active",332,58
9709075,"ANTIGONE","CRUDE OIL TANKER",241396000,"SVCG4","Greece [GR]","Tanker",154379,299421,2015,"Active",333.09,60.04
9732541,"GENER8 CONSTANTINE","CRUDE OIL TANKER",636017252,"D5JZ9","Liberia [LR]","Tanker",154133,299011,2016,"Active",333,60
9079107,"NASHA","CRUDE OIL TANKER",370497000,"3FSM8","Panama [PA]","Tanker",156809,298732,1996,"Active",332,58.05
9176993,"DS COMMODORE","CRUDE OIL TANKER",636090890,"A8HH6","Liberia [LR]","Tanker",159397,298620,2000,"Active",332.95,60
9246279,"GRAND LADY","CRUDE OIL TANKER",256958000,"9HA2972","Malta [MT]","Tanker",154369,299997,2002,"Active",333,60
9042063,"MARAN LYRA","CRUDE OIL TANKER",511586000,"T8A2671","Palau [PW]","Tanker",153429,286120,1995,"Active",327.5,57.2
9000986,"ORE SUDBURY","ORE CARRIER",239697000,"SXPL","Greece [GR]","Cargo",154552,285771,1992,"Active",327.5,57.24
9004786,"ANANGEL SHAGANG","ORE CARRIER",239698000,"SXYE","Greece [GR]","Cargo",154532,277218,1992,"Active",327.5,57.24
9171448,"MARAN CALLISTO","CRUDE OIL TANKER",240018000,"SYFV","Greece [GR]","Tanker",157833,299167,1999,"Active",332,58.04
9179608,"FPSO CIDADE DE SAQUAREMA","FLOATING STORAGE/PRODUCTION",355866000,"3EJV9","Panama [PA]","Tanker",168407,278610,1999,"Active",346.53,58
9283801,"KAI EI","CRUDE OIL TANKER",352110000,"H9CF","Panama [PA]","Tanker - Hazard A (Major)",159942,299997,2004,"Active",333,60
9085376,"OS ARCADIA","CRUDE OIL TANKER",351016000,"H3PU","Panama [PA]","Tanker",156779,298960,1996,"Active",332,58.05
9200847,"FPSO CIDADE DE MARICA","FLOATING STORAGE/PRODUCTION",352857000,"3FPB3","Panama [PA]","Dredger",168407,278610,2000,"Active",346.53,58
9337157,"KOKKARI","CRUDE OIL TANKER",311001100,"C6WV2","Bahamas [BS]","Tanker",156902,297538,2008,"Active",330,60
9077848,"JADE PALMS","MULTI PURPOSE OFFSHORE VESSEL",341238000,"V4RS3","St Kitts Nevis [KN]","Tanker",156802,298306,1995,"Active",332,58
9294587,"COSGRACE LAKE","CRUDE OIL TANKER",354433000,"3EET9","Panama [PA]","Tanker",156914,299118,2006,"Active",329.99,60
9203277,"VICTORY I","CRUDE OIL TANKER",538005920,"V7AY9","Marshall Is [MH]","Tanker",157831,298911,2001,"Active",332,58.04
9237527,"NEW INSPIRATION","CRUDE OIL TANKER",636017589,"D5LR7","Liberia [LR]","Tanker",159613,298399,2002,"Active",332.95,60
9493066,"HL BRAZIL","ORE CARRIER",353825000,"3FTJ","Panama [PA]","Cargo",152219,299688,2011,"Active",339.95,55
9437282,"BAOGANG SPIRIT","ORE CARRIER",353932000,"HOLW","Panama [PA]","Cargo",152311,297902,2010,"Active",327,55
8800286,"BERGE VINSON","BULK CARRIER",370495000,"3ETB","Panama [PA]","Cargo",153662,293022,1990,"Active",327.52,57.24
9036454,"BERGE BUREYA","ORE CARRIER",235118623,"2JST4","United Kingdom [GB]","Cargo",155823,289889,1993,"Active",327.5,58
9083093,"STELLAR IRIS","ORE CARRIER",371905000,"3FSH5","Panama [PA]","Cargo",154786,288272,1995,"Active",331,58.05
9398943,"YUAN YANG HU","CRUDE OIL TANKER",413880000,"BQCH","China [CN]","Tanker",152727,297305,2010,"Active",330,60
9508861,"ISLAND SPLENDOR","CRUDE OIL TANKER",477550600,"VRHS7","Hong Kong [HK]","Tanker",156651,296919,2011,"Active",330,60
9258521,"DHT LAKE","CRUDE OIL TANKER",235118678,"2JSZ4","United Kingdom [GB]","Tanker",158557,298564,2004,"Active",332,58
9281695,"ASIA DAWN","CRUDE OIL TANKER",636012594,"A8GK4","Liberia [LR]","Tanker",149274,281396,2005,"Active",330,60
9341275,"HE YING","ORE CARRIER",477835800,"VRHF4","Hong Kong [HK]","Cargo",151161,297679,2010,"Active",327,55
9788875,"CARIBBEAN GLORY","CRUDE OIL TANKER",371915000,"3EFY2","Panama [PA]","Tanker",170000,3e+05,2017,"Active",336,60
9759836,"AGIOS SOSTIS I","CRUDE OIL TANKER",249882000,"9HA4415","Malta [MT]","Tanker",160000,3e+05,2017,"Active",330,60
9731169,"OLYMPIC LADY","CRUDE OIL TANKER",241514000,"SVCQ2","Greece [GR]","Tanker",154379,299506,2017,"Active",336,60
9419618,"C.PROSPERITY","TANKER",352404000,"3FPT9","Panama [PA]","Tanker",160619,313875,2009,"Active",336,60
9708497,"NEW ODYSSEY","CRUDE OIL TANKER",477430300,"VRQA3","Hong Kong [HK]","Tanker",165209,318445,2016,"Active",333,60
9329796,"KIHO","CRUDE OIL TANKER",354220000,"3ECY3","Panama [PA]","Tanker",159923,300866,2006,"Active",333,60
9529956,"INGRID","CRUDE OIL TANKER",205670000,"ONHY","Belgium [BE]","Tanker",160716,318478,2012,"Active",333.14,60
9614050,"XIN LIAN YANG","CRUDE OIL TANKER",477257200,"VRMT7","Hong Kong [HK]","Tanker",164106,320000,2014,"Active",333,60.4
9671424,"APOLLO DREAM","CRUDE OIL TANKER",370282000,"3EGJ4","Panama [PA]","Tanker",159553,312073,2014,"Active",339.5,60
9212876,"MISTRAL","CRUDE OIL TANKER",241227000,"SVBQ4","Greece [GR]","Tanker",159414,306278,2000,"Active",334.7,58
9191400,"KELLY","CRUDE OIL TANKER",352799000,"3FVN3","Panama [PA]","Tanker",160079,314026,2000,"Active",333,60
9200835,"ARENZA XXVII","CRUDE OIL TANKER",525019531,"PNGJ","Indonesia [ID]","Tanker",159187,308491,2000,"Active",332.95,58
9312494,"NAUTILUS","CRUDE OIL TANKER",538005480,"V7EJ5","Marshall Is [MH]","Tanker",159911,307284,2006,"Active",332.84,58.01
9445473,"F WHALE","CRUDE OIL TANKER",636014787,"A8WN6","Liberia [LR]","Tanker",172146,319869,2011,"Active",340,60
9752993,"MARAN APOLLO","CRUDE OIL TANKER",241440000,"SVCK6","Greece [GR]","Tanker",161287,319398,2016,"Active",336,60
9290775,"SEA LYNX","CRUDE OIL TANKER",229628000,"9HA3463","Malta [MT]","Tanker",161233,318306,2004,"Active",333,60
9329863,"KASHIMASAN","TANKER",432724000,"7JFY","Japan [JP]","Tanker",159840,306033,2007,"Active",333,60
9473535,"CSB GLORY","ORE CARRIER",477091800,"VRJO6","Hong Kong [HK]","Cargo - Hazard A (Major)",151825,315063,2011,"Active",330,57
9172674,"PLATA GLORY","CRUDE OIL TANKER",538006008,"V7HY2","Marshall Is [MH]","Tanker",159423,300133,1999,"Active",332.94,60
9322267,"ELLINIS","CRUDE OIL TANKER",240520000,"SYDB","Greece [GR]","Tanker",157844,306432,2007,"Active",332,58.04
9313137,"YAMATOGAWA","CRUDE OIL TANKER",431386000,"7JYJ","Japan [JP]","Tanker",160134,302488,2006,"Active",332.9,60
9292228,"FRONT ENERGY","CRUDE OIL TANKER",538005876,"V7DO5","Marshall Is [MH]","Tanker",156873,305318,2004,"Active",330.25,60
9602617,"BRIGHTOIL GLORY","CRUDE OIL TANKER",477766400,"VRKW2","Hong Kong [HK]","Tanker",161296,318000,2012,"Active",333,60.46
9289477,"DHT CONDOR","TANKER",477271200,"VRNI4","Hong Kong [HK]","Tanker",161235,320051,2004,"Active",333,60
9590008,"AYACUCHO","CRUDE OIL TANKER",566792000,"9VAK2","Singapore [SG]","Tanker",167572,320840,2013,"Active",332,60
9727211,"LANDBRIDGE FORTUNE","CRUDE OIL TANKER",477913200,"VRPF2","Hong Kong [HK]","Tanker",162428,308297,2016,"Active",332.95,60
9593191,"MARAN CLEO","CRUDE OIL TANKER",241255000,"SVBS7","Greece [GR]","Tanker",164364,319384,2013,"Active",333,60
7385136,"PETROBRAS 53","FLOATING STORAGE/PRODUCTION",538002370,"V7IG3","Marshall Is [MH]","Other",157574,322446,1983,"Active",346.24,57.3
9397779,"FPMC C INTELLIGENCE","CRUDE OIL TANKER",636014591,"A8VE4","Liberia [LR]","Tanker",159869,301861,2010,"Active",333,60
9770517,"MARAN ARIADNE","CRUDE OIL TANKER",241438000,"SVCK4","Greece [GR]","Tanker",161287,319398,2016,"Active",336,60
9336098,"LAYLA","CRUDE OIL TANKER",309918000,"C6VX7","Bahamas [BS]","Tanker",160782,317821,2007,"Active",333.04,60.03
9233753,"DHT EAGLE","CRUDE OIL TANKER",477948100,"VROY2","Hong Kong [HK]","Tanker",160904,309064,2002,"Active",333.28,58
9727003,"GENER8 SUCCESS","CRUDE OIL TANKER",538006313,"V7LQ2","Marshall Is [MH]","Tanker",160449,300932,2016,"Active",333,60
9346952,"HAKATA","CRUDE OIL TANKER",228059600,"FISJ","France [FR]","Tanker",159806,302550,2010,"Active",333,60
9534016,"PU TUO SAN","CRUDE OIL TANKER",566079000,"9V8382","Singapore [SG]","Tanker",164580,318833,2011,"Active",332.93,60
9501174,"TAQAH","TANKER",538004833,"V7ZI4","Marshall Is [MH]","Tanker",162960,316373,2012,"Active",332.98,60
9534004,"WU TAI SAN","CRUDE OIL TANKER",563359000,"9VNH2","Singapore [SG]","Tanker",164580,318663,2011,"Active",332.89,60.03
9252333,"MARAN CORONA","CRUDE OIL TANKER",240016000,"SZUX","Greece [GR]","Tanker",153911,306000,2003,"Active",332,58
9307645,"BALTIC GLORY","CRUDE OIL TANKER",538006486,"V7NP5","Marshall Is [MH]","Tanker",163465,309316,2005,"Active",333.12,60.04
9254082,"GENE","CRUDE OIL TANKER",538002092,"V7UD7","Marshall Is [MH]","Tanker",160889,304985,2003,"Active",333,60
9206310,"ARION","CRUDE OIL TANKER",239762000,"SZXU","Greece [GR]","Tanker",160084,309460,2001,"Active",333.28,58
9234654,"EAGLE VERMONT","CRUDE OIL TANKER",564745000,"S6HU9","Singapore [SG]","Tanker",161233,306999,2002,"Active",333,60.05
9791236,"COSLUCKY LAKE","CRUDE OIL TANKER",477100100,"VRQW5","Hong Kong [HK]","Tanker",161500,309000,2017,"Active",333,60
9653422,"AL YARMOUK","CRUDE OIL TANKER",447188000,"9KFN","Kuwait [KW]","Tanker",165178,317033,2014,"Active",333,60
9387009,"GHAZAL","CRUDE OIL TANKER",403508000,"HZBM","Saudi Arabia [SA]","Tanker",160782,317664,2009,"Active",333.04,60
9734654,"GENER8 SUPREME","CRUDE OIL TANKER",538006314,"V7LQ3","Marshall Is [MH]","Tanker",160449,300932,2016,"Active",333,60
9708502,"NEW VICTORY","CRUDE OIL TANKER",477023700,"VRQM4","Hong Kong [HK]","Tanker",165209,318715,2017,"Active",333,60
9493121,"CSB PROSPERITY","ORE CARRIER",477196300,"VRJH4","Hong Kong [HK]","Cargo",151825,315063,2012,"Active",330,57
9534030,"QI LIAN SAN","CRUDE OIL TANKER",566110000,"9V8384","Singapore [SG]","Tanker",164169,318348,2012,"Active",333.04,60
9384198,"MANIFA","CRUDE OIL TANKER",403560000,"HZGW","Saudi Arabia [SA]","Tanker",162252,319427,2008,"Active",333,58
9158903,"MILLENNIUM","CRUDE OIL TANKER",351994000,"3FST8","Panama [PA]","Tanker",156692,301171,1998,"Active",331,58
9217981,"SEA LATITUDE","CRUDE OIL TANKER",538007313,"V7HT8","Marshall Is [MH]","Tanker",157883,309285,2001,"Active",334.59,58.05
9783356,"COSFLOURISH LAKE","CRUDE OIL TANKER",477142100,"VRRF6","Hong Kong [HK]","Tanker",162542,308152,2017,"Active",333,60
9607875,"HORAISAN","TANKER",431756000,"7KBT","Japan [JP]","Tanker",160057,305301,2013,"Active",333,60
9447574,"FPMC C LORD","CRUDE OIL TANKER",636014909,"A8XJ5","Liberia [LR]","Tanker",159869,301861,2011,"Active",333,60
9357391,"HELM","CRUDE OIL TANKER",374441000,"HPZR","Panama [PA]","Tanker",163660,317356,2008,"Active",333,60
9708514,"NEW CONSTANT","CRUDE OIL TANKER",477810200,"VRPN5","Hong Kong [HK]","Tanker",165592,318862,2016,"Active",332.95,60
9614048,"XIN DAN YANG","CRUDE OIL TANKER",477219800,"VRMR4","Hong Kong [HK]","Tanker",164492,320000,2013,"Active",333,60.4
9257149,"ELIZABETH I.A.","CRUDE OIL TANKER",240165000,"SZHJ","Greece [GR]","Tanker",153911,306229,2004,"Active",332,58
9288875,"ANDROMEDA VOYAGER","CRUDE OIL TANKER",311732000,"C6FZ6","Bahamas [BS]","Tanker",160808,320472,2005,"Active",333,60
9116931,"OS CONCORD","CRUDE OIL TANKER",518100293,"E5U3229","Cook Is [CK]","Tanker",156590,301345,1996,"Active",330.27,58.4
9770505,"MARAN ATHENA","CRUDE OIL TANKER",241439000,"SVCK5","Greece [GR]","Tanker",161287,319398,2016,"Active",336,60.05
9726798,"STELLAR ACE","ORE CARRIER",538006749,"V7QW5","Marshall Is [MH]","Cargo",151596,300660,2015,"Active",340,55
9605205,"C.PROGRESS","CRUDE OIL TANKER",373705000,"3FLB3","Panama [PA]","Tanker",160705,313990,2012,"Active",333.13,60
9315159,"DHT EUROPE","CRUDE OIL TANKER",228317700,"FNLU","France [FR]","Tanker",160882,317713,2007,"Active",333.99,60.04
9180891,"PHOENIX M","CRUDE OIL TANKER",374973000,"3FLC2","Panama [PA]","Tanker",157496,307151,1999,"Active",332,58
9153513,"CS BRILLIANCE","CRUDE OIL TANKER",538002131,"V7GM6","Marshall Is [MH]","Tanker",159423,300058,1998,"Active",332.94,60
9108154,"DS VADA","CRUDE OIL TANKER",354870000,"3FWM6","Panama [PA]","Tanker",159422,309636,1997,"Active",333,58
9116400,"SEA EQUATORIAL","FLOATING STORAGE/PRODUCTION",538001147,"V7AS7","Marshall Is [MH]","Tanker",156880,300349,1997,"Active",330,58
9307633,"BALTIC SUNRISE","OIL PRODUCTS TANKER",538006485,"V7NP2","Marshall Is [MH]","Tanker",163465,309373,2005,"Active",333.12,60
9158874,"BONGKOT STAR","CRUDE OIL TANKER",567545000,"HSB6025","Thailand [TH]","Tanker",156692,301242,1997,"Active",330.25,58
9197909,"MEANDROS","CRUDE OIL TANKER",240857000,"SVAN9","Greece [GR]","Tanker",157883,309498,2000,"Active",334,58
9422158,"C.MIGHTY","CRUDE OIL TANKER",357245000,"3EYW4","Panama [PA]","Tanker",160619,313875,2010,"Active",336.17,60
9197894,"OVERSEAS RAPHAEL","CRUDE OIL TANKER",538001400,"V7BY5","Marshall Is [MH]","Tanker",157883,309614,2000,"Active",335,58.05
9081174,"ZOYA 1","CRUDE OIL TANKER",351667000,"H3MI","Panama [PA]","Tanker",156852,300482,1996,"Active",330,58
9597264,"BRITISH VENTURE","CRUDE OIL TANKER",235101557,"2GYL6","United Kingdom [GB]","Tanker",161833,320122,2013,"Active",333,60
9183324,"NEW ANDROS","CRUDE OIL TANKER",636015889,"D5DI6","Liberia [LR]","Tanker",160279,301620,1999,"Active",335,58
9180164,"RIDGEBURY PURPOSE","CRUDE OIL TANKER",538006394,"V7MP8","Marshall Is [MH]","Tanker",160216,306307,2000,"Active",335,58
9169691,"CS PROSPERITY","CRUDE OIL TANKER",538007000,"V7UB3","Marshall Is [MH]","Tanker",157863,311224,1999,"Active",334.45,58
9148635,"ASHNA","CRUDE OIL TANKER",538090180,"V7GR5","Marshall Is [MH]","Tanker",156417,301438,1999,"Active",330.27,58.04
9629366,"WU YI SAN","TANKER",566551000,"9VCF6","Singapore [SG]","Tanker",164169,318445,2012,"Active",333.04,60
9259355,"ENEOS BREEZE","CRUDE OIL TANKER",354451000,"HPLK","Panama [PA]","Tanker",159909,301013,2003,"Active",333,60
9235256,"FLANDRE","CRUDE OIL TANKER",226287000,"FNJU","France [FR]","Tanker",159016,305688,2004,"Active",332,58
9409247,"ATHENIAN VICTORY","CRUDE OIL TANKER",538003603,"V7RY6","Marshall Is [MH]","Tanker",160135,317441,2009,"Active",333.13,60.08
9500924,"IZKI","TANKER",538004578,"V7XV2","Marshall Is [MH]","Tanker",164359,319439,2012,"Active",333,60
9334210,"IDEMITSU MARU","CRUDE OIL TANKER",353841000,"3ENL6","Panama [PA]","Tanker",159939,300433,2007,"Active",333,60
9252333,"MARAN CORONA","CRUDE OIL TANKER",240016000,"SZUX","Greece [GR]","Tanker",153911,306093,2003,"Active",332,58.05
9734654,"GENER8 SUPREME","CRUDE OIL TANKER",538006314,"V7LQ3","Marshall Is [MH]","Tanker - Hazard D (Recognizable)",160449,300932,2016,"Active",333,60
9662875,"ENEOS OCEAN","CRUDE OIL TANKER",432986000,"7JQP","Japan [JP]","Tanker",159579,312181,2014,"Active",339.5,60
9424211,"OLYMPIC LUCK","CRUDE OIL TANKER",241340000,"SVCA7","Greece [GR]","Tanker",169955,319106,2010,"Active",339.76,60.04
9181194,"MARINA M","CRUDE OIL TANKER",249022000,"9HII9","Malta [MT]","Tanker",159187,308491,2000,"Active",332.95,58.05
9324100,"KASAGISAN","CRUDE OIL TANKER",308904000,"C6VH2","Bahamas [BS]","Tanker",160216,308027,2006,"Active",333,60
9437177,"OLYMPIC TRUST","CRUDE OIL TANKER",538005797,"V7HA2","Marshall Is [MH]","Tanker",172146,319869,2010,"Active",339.76,60.04
9233739,"PANTARISTE","CRUDE OIL TANKER",248294000,"9HA4599","Malta [MT]","Tanker",160100,309287,2002,"Active",333.28,58
9535058,"HAKUSAN","CRUDE OIL TANKER",235087726,"2ESF4","United Kingdom [GB]","Tanker - Hazard D (Recognizable)",160059,305350,2011,"Active",333,60
9441245,"SIFA","CRUDE OIL TANKER",538004634,"V7YD6","Marshall Is [MH]","Tanker",163066,316373,2011,"Active",333.14,60.05
9686340,"NEW ACHIEVEMENT","CRUDE OIL TANKER",477476400,"VROB2","Hong Kong [HK]","Tanker",165541,318906,2015,"Active",332.95,60
9250622,"RENE","CRUDE OIL TANKER",353890000,"H9TM","Panama [PA]","Tanker - Hazard A (Major)",160079,314014,2002,"Active",333,60
