"IMO","Name","Vessel.Type","MMSI","Call.Sign","Flag","AIS.Vessel.Type","Gross.Tonnage","Deadweight","Year.Built","Status","Length","Breadth"
9723071,"GENER8 ATHENA","CRUDE OIL TANKER",538006373,"V7MK2","Marshall Is [MH]","Tanker",157092,299999,2015,"Active",336,60.04
9783722,"SEATRIUMPH","CRUDE OIL TANKER",311000636,"C6DC4","Bahamas [BS]","Tanker",154000,299550,2017,"Active",333.08,60
9229439,"PACIFIC GLORY","CRUDE OIL TANKER",538004521,"V7XN5","Marshall Is [MH]","Tanker",160229,299999,2001,"Active",329.95,60
9398072,"ACHILLEAS","CRUDE OIL TANKER",636014701,"A8WA4","Liberia [LR]","Tanker",156915,297950,2010,"Active",330,60
9177167,"POROS","CRUDE OIL TANKER",636016932,"D5IL9","Liberia [LR]","Tanker",152139,284170,2000,"Active",330,60
9294575,"COSGRAND LAKE","CRUDE OIL TANKER",371847000,"3EBJ7","Panama [PA]","Tanker",156914,298997,2006,"Active",330,60
9514561,"NAVE BUENA SUERTE","CRUDE OIL TANKER",477814400,"VRHN6","Hong Kong [HK]","Tanker",152727,297491,2011,"Active",330,60
9208215,"CHRYSSI","CRUDE OIL TANKER",229775000,"9HA3597","Malta [MT]","Tanker",159577,298920,2000,"Active",333,60
9002623,"MARINE STAR","FLOATING STORAGE/PRODUCTION",538004961,"V7AC2","Marshall Is [MH]","Tanker",158475,299700,1994,"Active",343.71,56.44
9419955,"FPMC C NOBLE","CRUDE OIL TANKER",636015471,"D5AY8","Liberia [LR]","Tanker",156975,297258,2012,"Active",330,60
9079066,"NAROON","CRUDE OIL TANKER",372642000,"3EWX6","Panama [PA]","Tanker",156809,298732,1996,"Active",332,58.05
9237072,"ASTRO CHALLENGE","CRUDE OIL TANKER",240169000,"SVUL","Greece [GR]","Tanker",157878,299222,2002,"Active",332,58.04
9177686,"NEW DISCOVERY","CRUDE OIL TANKER",370946000,"3FTO6","Panama [PA]","Tanker",152145,279989,2000,"Active",329.99,60
9243150,"SUCCESS FORTUNE XL","CRUDE OIL TANKER",525012284,"JZRB","Indonesia [ID]","Tanker",158993,298555,2003,"Active",332.07,58.04
9179701,"MAROON","CRUDE OIL TANKER",354798000,"3EXF7","Panama [PA]","Tanker",157814,299543,2000,"Active",332,58
9779848,"SHADEN","CRUDE OIL TANKER",403535000,"HZDL","Saudi Arabia [SA]","Tanker",154252,298750,2017,"Active",332.97,60
9048122,"STELLAR TOPAZ","ORE CARRIER",538004972,"V7AD6","Marshall Is [MH]","Cargo",160454,298468,1994,"Active",332.09,58.05
9398151,"OITA MARU","ORE CARRIER",431209000,"7KAI","Japan [JP]","Cargo",150959,298377,2010,"Active",327,55
9085352,"WUGANG ATLANTIC","ORE CARRIER",636013827,"A8PT4","Liberia [LR]","Cargo",156281,281226,1995,"Active",327,57
9739513,"EAGLE VICTORIA","CRUDE OIL TANKER",563032500,"9V5635","Singapore [SG]","Tanker",154163,299392,2016,"Active",332.97,60
9218492,"DEEP SEA","CRUDE OIL TANKER",354793000,"HPGP","Panama [PA]","Tanker",160576,296977,2004,"Active",333.62,58
9222443,"TENYO","CRUDE OIL TANKER",563571000,"9V9366","Singapore [SG]","Tanker",152139,281050,2000,"Active",330,60
9293741,"SEA FORTUNE 1","CRUDE OIL TANKER",565120000,"S6HA2","Singapore [SG]","Tanker",159730,299097,2003,"Active",333.04,60.05
9218480,"DOWNY","CRUDE OIL TANKER",355817000,"3FHM7","Panama [PA]","Tanker",160576,296977,2004,"Active",333.63,58.04
9779800,"AMJAD","CRUDE OIL TANKER",403529000,"HZSH","Saudi Arabia [SA]","Other",154252,298886,2017,"Active",330,60
9406166,"SAIQ","CRUDE OIL TANKER",355705000,"3EZD4","Panama [PA]","Tanker",156935,299999,2011,"Active",330,60.04
9273337,"BUNGA KASTURI","CRUDE OIL TANKER",533744000,"9MEV6","Malaysia [MY]","Tanker",156967,299999,2003,"Active",330,60
9222455,"MARBELLA","CRUDE OIL TANKER",351596000,"H3QT","Panama [PA]","Tanker",152041,281050,2000,"Active",330,60
9245782,"COSGLORY LAKE","CRUDE OIL TANKER",356834000,"HOUO","Panama [PA]","Tanker",156914,299145,2003,"Active",330,60
9384605,"FRONT QUEEN","CRUDE OIL TANKER",538003542,"V7RM7","Marshall Is [MH]","Tanker",156651,297936,2009,"Active",330,60
9730098,"GENER8 NESTOR","CRUDE OIL TANKER",636017083,"D5JF4","Liberia [LR]","Tanker",156517,297638,2017,"Active",333,60.04
9391751,"SAKURAGAWA","CRUDE OIL TANKER",432707000,"7JFL","Japan [JP]","Tanker",160068,299982,2009,"Active",332.93,60
9398175,"DANIEL N","ORE CARRIER",636014329,"A8TC9","Liberia [LR]","Cargo",151448,297359,2011,"Active",327,55.01
9258519,"DHT RAVEN","CRUDE OIL TANKER",235116387,"2JJG7","United Kingdom [GB]","Tanker",158557,298563,2004,"Active",332,58
9079078,"NAVARZ","CRUDE OIL TANKER",374135000,"3EQX5","Panama [PA]","Tanker",156809,298731,1996,"Active",332,58.05
9056117,"YANGTZE STAR","CRUDE OIL TANKER",325331000,"J7BB4","Dominica [DM]","Tanker",147012,277095,1994,"Active",321.95,58
9521980,"SHAGANG FAITH","ORE CARRIER",636015590,"D5BR4","Liberia [LR]","Cargo",152306,298085,2013,"Active",327.03,55
9575943,"EVGENIA I","CRUDE OIL TANKER",215049000,"9HA2622","Malta [MT]","Tanker",156651,296793,2011,"Active",330,60
9389772,"XIN YUE YANG","CRUDE OIL TANKER",477595500,"VRFR6","Hong Kong [HK]","Tanker",152727,297232,2009,"Active",330,60
9595216,"BOSTON","CRUDE OIL TANKER",636015483,"D5BA5","Liberia [LR]","Tanker",166093,299996,2012,"Active",332.93,60
9389760,"XIN RUN YANG","CRUDE OIL TANKER",477541700,"VRFN2","Hong Kong [HK]","Tanker",152727,297244,2009,"Active",330,60
9176981,"CS PIONEER","FLOATING STORAGE/PRODUCTION",538005621,"V7FN2","Marshall Is [MH]","Tanker",154159,281705,1999,"Active",332.94,60
9723124,"HERCULES I","CRUDE OIL TANKER",538006822,"V7RS2","Marshall Is [MH]","Tanker",154133,299011,2017,"Active",333,60
9445631,"NEW VANGUARD","CRUDE OIL TANKER",636014989,"A8XW8","Liberia [LR]","Tanker",157039,297115,2011,"Active",330,60
9535785,"NEW SPRING","CRUDE OIL TANKER",477585600,"VRNW4","Hong Kong [HK]","Tanker",156726,296393,2011,"Active",330,60
9709087,"ALICE","CRUDE OIL TANKER",205686000,"ONIM","Belgium [BE]","Tanker",154379,299320,2016,"Active",333,60.04
9262168,"FOLEGANDROS I","CRUDE OIL TANKER",636018310,"D5PD7","Liberia [LR]","Tanker",159929,299984,2004,"Active",333,60
9233272,"SEA HORIZON","CRUDE OIL TANKER",538006869,"V7AV7","Marshall Is [MH]","Tanker",159456,298412,2001,"Active",332.95,60
9375745,"HE YONG","ORE CARRIER",477614600,"VRFT8","Hong Kong [HK]","Cargo",152148,297738,2009,"Active",327,55
9165932,"GLOBAL M","FLOATING STORAGE/PRODUCTION",564418000,"9V2618","Singapore [SG]","Unspecified",156397,298982,1998,"Active",332,58.05
9375771,"YU HUA HAI","ORE CARRIER",371620000,"3FBY2","Panama [PA]","Cargo",152148,297846,2010,"Active",327,55
9607033,"ORE SAO LUIS","ORE CARRIER",636015575,"D5BP2","Liberia [LR]","Cargo",151105,297076,2012,"Active",327,55
9183362,"NEW PROSPERITY","CRUDE OIL TANKER",636016519,"D5GO3","Liberia [LR]","Tanker - Hazard C (Minor)",149362,281050,1999,"Active",330,60
9510486,"WUGANG CAIFU","BULK CARRIER",636015585,"D5BQ7","Liberia [LR]","Cargo",153604,299382,2012,"Active",327,55.04
9248485,"FRONT STRATUS","CRUDE OIL TANKER",636011434,"ELZE9","Liberia [LR]","Tanker",156916,299157,2002,"Active",329.99,60
9728693,"GENER8 NAUTILUS","CRUDE OIL TANKER",636017084,"D5JF5","Liberia [LR]","Tanker",154163,298991,2016,"Active",332.97,60
9295024,"XIN NING YANG","CRUDE OIL TANKER",413128000,"BPAE","China [CN]","Tanker",152740,297439,2005,"Active",330,60
9526461,"ITHAKI","CRUDE OIL TANKER",256310000,"9HA2840","Malta [MT]","Tanker",160487,299992,2011,"Active",332.98,60
9759824,"AGIOS FANOURIOS I","CRUDE OIL TANKER",249884000,"9HA4416","Malta [MT]","Tanker",156341,299996,2016,"Active",330,60
9180138,"FPSO MV29 CAMPOS DOS GOYTACAZE","FLOATING STORAGE/PRODUCTION",311000289,"C6BK5","Bahamas [BS]","Other",164152,298543,2000,"Active",334.75,58
9331244,"NERISSA","CRUDE OIL TANKER",538003256,"V7PM3","Marshall Is [MH]","Tanker",159407,299235,2006,"Active",333,60
9375238,"SAHAM","CRUDE OIL TANKER",352978000,"3FWF2","Panama [PA]","Tanker",156919,299991,2010,"Active",330,60
9218478,"DIAMOND II","CRUDE OIL TANKER",351086000,"3EYM2","Panama [PA]","Tanker",160576,296977,2003,"Active",333.75,58
9218454,"DEVON","CRUDE OIL TANKER",371383000,"3EVG6","Panama [PA]","Tanker",160576,299500,2002,"Active",333.5,58.04
9248497,"FRONT PAGE","CRUDE OIL TANKER",636011436,"ELZF3","Liberia [LR]","Tanker",156916,299164,2002,"Active",330,60
9248473,"FRONT SERENADE","CRUDE OIL TANKER",636011328,"ELYK8","Liberia [LR]","Tanker",156916,299152,2002,"Active",330,60
9002609,"SPERANZA","FLOATING STORAGE/PRODUCTION",353035000,"HPPO","Panama [PA]","Tanker",158475,299700,1993,"Active",343.71,56.44
9733961,"DHT LEOPARD","CRUDE OIL TANKER",477730700,"VRPE3","Hong Kong [HK]","Tanker",154180,299629,2016,"Active",333,60
7382249,"FPSO CIDADE DE ANCHIETA","FLOATING STORAGE/PRODUCTION",308626000,"C6FI5","Bahamas [BS]","Other",136985,291588,1975,"Active",344.84,51.85
9733947,"DHT JAGUAR","CRUDE OIL TANKER",477939800,"VRPC4","Hong Kong [HK]","Tanker",154180,299629,2015,"Active",333,60
9030967,"STELLAR SAMBA","ORE CARRIER",538004971,"V7AD5","Marshall Is [MH]","Cargo",164325,291435,1994,"Active",332.5,58.05
9394507,"SPRING SPLENDOR","CRUDE OIL TANKER",477986700,"VRHS8","Hong Kong [HK]","Tanker",156651,296908,2011,"Active",330,60
9417189,"YUAN SHAN HU","CRUDE OIL TANKER",413976000,"BOGF","China [CN]","Tanker - Hazard A (Major)",152727,297136,2010,"Active",330,60
9310147,"DHT FALCON","OIL PRODUCTS TANKER",477407500,"VRNB8","Hong Kong [HK]","Tanker",159730,298971,2006,"Active",333,60.04
9779836,"RIMTHAN","CRUDE OIL TANKER",403534000,"HZDV","Saudi Arabia [SA]","Tanker",154252,298855,2017,"Active",332.97,60
9288095,"NEW SPIRIT","CRUDE OIL TANKER",636012703,"A8HC8","Liberia [LR]","Tanker",156973,298972,2005,"Active",330,60
9591284,"COSGLAD LAKE","CRUDE OIL TANKER",477242900,"VRMH2","Hong Kong [HK]","Tanker",152727,297388,2011,"Active",330,60
9376751,"NAVE SPHERICAL","OIL PRODUCTS TANKER",477217900,"VRFD8","Hong Kong [HK]","Tanker",156702,297572,2009,"Active",330,60
9158886,"CS INNOVATION","CRUDE OIL TANKER",538006306,"V7LN5","Marshall Is [MH]","Tanker",156692,299885,1997,"Active",330.25,58
9221918,"BW UTAH","CRUDE OIL TANKER",538007793,"V7YK5","Marshall Is [MH]","Tanker",157814,299498,2001,"Active",332,58.04
9191412,"GREEK WARRIOR","CRUDE OIL TANKER",355603000,"H3MY","Panama [PA]","Tanker - Hazard A (Major)",160079,299999,2000,"Active",333,60
9172868,"DS TINA","CRUDE OIL TANKER",636090889,"A8HH5","Liberia [LR]","Tanker",159463,298824,2000,"Active",333,60
9723083,"GENER8 APOLLO","CRUDE OIL TANKER",538006374,"V7MK4","Marshall Is [MH]","Tanker",157092,299999,2016,"Active",336,60.04
7351800,"PETROBRAS 31","FLOATING STORAGE/PRODUCTION",351279000,"HP9034","Panama [PA]","Other",138015,292823,1974,"Active",337.1,54.54
9535797,"NEW PEACE","CRUDE OIL TANKER",477712900,"VRNW3","Hong Kong [HK]","Tanker",156726,296326,2012,"Active",330,60
9196632,"SEAWAYS TANABE","CRUDE OIL TANKER",538002487,"V7JB3","Marshall Is [MH]","Tanker",159383,298561,2002,"Active",332.92,60
9740483,"FPSO CIDADE DE CARAGUATATUBA M","FLOATING STORAGE/PRODUCTION",311000320,"C6BO6","Bahamas [BS]","Tanker",164087,295574,2015,"Active",250,60
9060338,"STELLAR RIO","ORE CARRIER",538004970,"V7AD4","Marshall Is [MH]","Cargo",160666,298450,1994,"Active",332.09,58.05
9728708,"GENER8 MACEDON","CRUDE OIL TANKER",636017085,"D5JF6","Liberia [LR]","Tanker",154163,298991,2016,"Active",332.97,60
9212929,"HENNA","CRUDE OIL TANKER",370699000,"3FFI5","Panama [PA]","Tanker",160930,299242,2003,"Active",333.13,58
